timestamp,project_id,source_doc,truth,pos,label,image_path,mode,ink_ratio,box_x0,box_y0,box_x1,box_y1,roi_x0,roi_y0,roi_x1,roi_y1,auto_trim,trim_threshold,trim_pad,zoom
20260629_140658,cb_v2_old_20260629_135151,125.pdf,440252,5,5,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\5\125_20260629_140658_pos05_5.png,canvas_manual,0.6666666666666666,47,2,56,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140713,cb_v2_old_20260629_135151,125.pdf,440252,6,2,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\2\125_20260629_140713_pos06_2.png,canvas_manual,0.5614973262032086,56,2,67,19,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140817,cb_v2_old_20260629_135151,136.pdf,440238,1,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\136_20260629_140817_pos01_4.png,canvas_manual,0.66,3,0,13,15,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140827,cb_v2_old_20260629_135151,136.pdf,440238,2,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\136_20260629_140827_pos02_4.png,canvas_manual,0.6733333333333333,14,0,24,15,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140840,cb_v2_old_20260629_135151,136.pdf,440238,3,0,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\0\136_20260629_140840_pos03_0.png,canvas_manual,0.7928571428571428,24,0,34,14,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140851,cb_v2_old_20260629_135151,136.pdf,440238,4,2,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\2\136_20260629_140851_pos04_2.png,canvas_manual,0.7207792207792207,34,0,45,14,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140858,cb_v2_old_20260629_135151,136.pdf,440238,5,3,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\3\136_20260629_140858_pos05_3.png,canvas_manual,0.7142857142857143,45,0,55,14,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140906,cb_v2_old_20260629_135151,136.pdf,440238,6,8,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\8\136_20260629_140906_pos06_8.png,canvas_manual,0.7402597402597403,55,0,66,14,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140952,cb_v2_old_20260629_135151,197.pdf,440235,1,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\197_20260629_140952_pos01_4.png,canvas_manual,0.5167464114832536,4,2,15,21,0.835,0.115,0.9,0.13,True,245,4,8
20260629_141005,cb_v2_old_20260629_135151,197.pdf,440235,2,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\197_20260629_141005_pos02_4.png,canvas_manual,0.5363636363636364,15,2,26,22,0.835,0.115,0.9,0.13,True,245,4,8
20260629_141013,cb_v2_old_20260629_135151,197.pdf,440235,3,0,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\0\197_20260629_141013_pos03_0.png,canvas_manual,0.569377990430622,25,3,36,22,0.835,0.115,0.9,0.13,True,245,4,8
20260629_141019,cb_v2_old_20260629_135151,197.pdf,440235,4,2,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\2\197_20260629_141019_pos04_2.png,canvas_manual,0.5570175438596491,40,3,52,22,0.835,0.115,0.9,0.13,True,245,4,8
20260629_141029,cb_v2_old_20260629_135151,197.pdf,440235,5,3,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\3\197_20260629_141029_pos05_3.png,canvas_manual,0.6941176470588235,52,3,62,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_141038,cb_v2_old_20260629_135151,197.pdf,440235,6,5,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\5\197_20260629_141038_pos06_5.png,canvas_manual,0.7352941176470589,62,3,70,20,0.835,0.115,0.9,0.13,True,245,4,8
